CURRENT CONGREGATION,ORIGINAL CONGREGATION,FULL ADDRESS,ZIP CODE,YEAR ORIGINAL BUILDING COMPLETED,CIRCA/PRE/POST,ORIGINAL ARCHITECT,Phila Register (Ind),Phila Register (District),National Register (Ind),National Register (District),NHL,HABS,DATE SOURCE,ARCHITECT SOURCE,CITY COUNCIL,PLANNING DISTRICT,SINGLE BUILDING/COMPLEX,ORIGINAL FAITH,CURRENT FAITH,ADD1,ADD1YR,ADD1ARCH,ADD2,ADD2YR,ADD2ARCH,ADD3,ADD3YR,ADD3ARCH,ARTISANS,EXTMAT1,EXTMAT2,NOTES,DEMOLITION PERMITS (SINCE 2006),CENSUS OF STAINED GLASS,COVENANT ON FILE,COOPERMAN INVENTORY,CHANGE IN FAITH/DENOMINATION,TAX PARCEL #,AKA ADDRESS,OWNER1,OWNER2,CENSUS,Geocode Address,FOR SALE/SOLD/CLOSED/VACANT,UNSAFE/IMM.DANG.,Icon
WISSINOMING PRESBYTERIAN CHURCH,WISSINOMING PRESBYTERIAN CHURCH,4700 HOWELL STREET,19135,1920,,SAMUEL D. MILNER,NO,NO,NO,NO,NO,NO,,,6,NORTH DELAWARE,,PRESBYTERIAN,PRESBYTERIAN - PC(USA),,,,,,,,,,,,CAST STONE,,,NO,NO,NO,NO,778193000,,WISSINOMING,PRESBYTERIAN CHURCH,321,"4700  HOWELL STREET Philadelphia, PA",,,small_red
WISSINOMING UNITED METHODIST CHURCH,WISSINOMING METHODIST EPISCOPAL CHURCH,4419 COMLY STREET,19135,1912,,STEARNS & CASTOR,NO,NO,NO,NO,NO,NO,,,6,NORTH DELAWARE,,METHODIST EPISCOPAL,METHODIST,,,,,,,,,,,GRANITE,LIMESTONE,,,NO,NO,NO,NO,778116000,,WISSINOMING ME CHURCH,,319,"4419  COMLY STREET Philadelphia, PA",,,small_red
WOODLAND PRESBYTERIAN CHURCH,WOODLAND PRESBYTERIAN CHURCH,401 S. 42ND STREET,19104,1869,,PURSELL & FRY,NO,NO,NO,WEST PHILADELPHIA STREETCAR SUBURB,NO,NO,PAB,,3,UNIVERSITY/SOUTHWEST,,PRESBYTERIAN,PRESBYTERIAN - PC(USA),ADDITIONS/ALTERATIONS (PAB),1937,,,,,,,,,LIMESTONE,,,,NO,NO,NO,NO,773268000,,WOODLAND PRESBYTERIAN,CHURCH,87,"401 S. 42ND STREET Philadelphia, PA",,,small_red
SAINT FRANCIS OF ASSISI CATHOLIC CHURCH,SAINT FRANCIS OF ASSISI CATHOLIC CHURCH,45 W. LOGAN STREET,19144,1924,,FRANCIS F. DURANG,NO,NO,NO,NO,NO,NO,PCP,,8,UPPER NORTHWEST,,ROMAN CATHOLIC,ROMAN CATHOLIC,,,,,,,,,,,GRANITE,TERRA COTTA,,,YES,NO,NO,NO,776194000,,REV PETER J MC GARRITY,PASTOR ROMAN CATHOLIC,244,"45 W. LOGAN STREET Philadelphia, PA",,,small_red
GERMANTOWN JEWISH CENTRE,GERMANTOWN JEWISH CENTRE,7000 LINCOLN DRIVE,19119,1947,,HARRY STERNFELD,NO,NO,NO,NO,NO,NO,CONGREGATION WEBSITE,,8,UPPER NORTHWEST,,JUDAISM,JUDAISM,,,,,,,,,,,,,,,NO,NO,NO,NO,775699000,400 W. ELLET STREET,GERMANTOWN JEWISH CENTRE,,236,"7000  LINCOLN DRIVE Philadelphia, PA",,,small_red
CHURCH OF THE LORD JESUS CHRIST OF THE APOSTOLIC FAITH,SAINT CATHERINE OF SIENNA CATHOLIC CHURCH,440 W. PENN STREET,19144,1915,CIRCA,C. CUMMISKEY,NO,NO,NO,NO,NO,NO,COOPERMAN,COOPERMAN,8,UPPER NORTHWEST,,ROMAN CATHOLIC,APOSTOLIC,,,,,,,,,,,,,,,NO,NO,YES,YES,776232000,,CONGREGATION MISSION,OF ST PAUL,240,"440 W. PENN STREET Philadelphia, PA",,,small_red
CRESCENTVILLE BAPTIST CHURCH,CRESCENTVILLE BAPTIST CHURCH,521 E. GODFREY AVENUE,19120,1938,,,NO,NO,NO,NO,NO,NO,CONGREGATION WEBSITE,,9,UPPER NORTH,,BAPTIST,BAPTIST,,,,,,,,,,,SCHIST,,,,NO,NO,NO,NO,778170000,,CRESCENTVILLE BAPTIST,,305,"521 E. GODFREY AVENUE Philadelphia, PA",,,small_red
HIGHWAY CHURCH OF CHRIST OF THE APOSTOLIC FAITH,SAINT STEPHEN'S LUTHERAN CHURCH?,3921 POWELTON AVENUE,19104,1890,CIRCA,UNKNOWN,NO,NO,NO,NO,NO,NO,PHMC-PAB,,3,UNIVERSITY/SOUTHWEST,,LUTHERAN,APOSTOLIC,,,,,,,,,,,,,,,NO,NO,NO,YES,774286000,,THE HIGHWAY CHURCH OF,CHRIST OF THE,91,"3921  POWELTON AVENUE Philadelphia, PA",,,small_red
REFUGE APOSTOLIC CHURCH OF OUR LORD,TEMPLE LUTHERAN CHURCH,201-209 N. 52ND STREET,19131,1903,,ISAAC PURSELL,NO,NO,NO,NO,NO,NO,,,3,WEST,,LUTHERAN,APOSTOLIC,,,,,,,,,,,GRANITE,LIMESTONE,,,NO,NO,NO,YES,774400000,5143 RACE STREET,APOSTOLIC CHURCH,OF OUR LORD JESUS,93,"201 N. 52ND STREET Philadelphia, PA",,,small_red
ACTS OF THE APOSTLES CHURCH IN JESUS CHRIST,SAINT LUDWIG'S CATHOLIC CHURCH,2801-2807 W. MASTER STREET,19121,1901,,"GEORGE I. LOVATT, SR.",NO,NO,NO,NO,NO,YES,PHILADELPHIA INQUIRER,PAB,5,LOWER NORTH,,ROMAN CATHOLIC,APOSTOLIC,,,,,,,,,,,GRANITE,,,,NO,NO,NO,YES,772173500,,THE ACTS OF THE APOSTLES,CHURCH,137,"2801 W. MASTER STREET Philadelphia, PA",,,small_red
BIBLEWAY CHURCH OF THE LORD JESUS,SAINT GREGORY CATHOLIC CHURCH,5188 BIBLE WAY,19131,1904,,ROWLAND W. BOYLE,NO,NO,NO,NO,NO,NO,PAB,"PHMC-PHC, CLIO",3,WEST,,ROMAN CATHOLIC,APOSTOLIC,ADDITIONS/ALTERATIONS (PAB),1915,"GEORGE IGNATIUS LOVATT, SR.",ADDITIONS/ALTERATIONS (PAB),1924,HENRY D. DAGIT & SONS,,,,,,LIMESTONE,,,NO,NO,NO,YES,774076000,5188 MEDIA STREET; N. 52ND STREET; WARREN STREET,BIBLEWAY CHURCH OF THE,LORD JESUS CHRIST,111,"5188  BIBLE WAY Philadelphia, PA",,,small_red
SAINT LUKE'S LUTHERAN CHURCH,,7200 CASTOR AVENUE,19149,1962,PRE,,NO,NO,NO,NO,NO,NO,PHILAGEOHISTORY,,7,CENTRAL NORTHEAST,,,LUTHERAN,,,,,,,,,,,,,,,NO,NO,NO,,778105000,,CASTOR GARDEN EVNG,LUTHERAN CHURCH,310,"7200  CASTOR AVENUE Philadelphia, PA",,,small_red
GOD'S CHURCH OF THE APOSTLES DOCTRINE,EVANGELICAL LUTHERAN CHURCH,3528-3534 N. 16TH STREET,19140,1875,,,NO,NO,NO,NO,NO,NO,PCHP,,8,NORTH,,LUTHERAN,APOSTOLIC,,,,,,,,,,,BRICK,,,,NO,NO,NO,YES,112207600,,GOD'S CHURCH OF THE,APOSTLE DOCTRINE,201,"3528 N. 16TH STREET Philadelphia, PA",,,small_red
GREATER COMMUNITY BIBLE TABERNACLE,BETH DAVID REFORMED CONGREGATION,5220 WYNNEFIELD AVENUE,19131,,,,NO,NO,NO,NO,NO,NO,,,4,WEST PARK,,JUDAISM,APOSTOLIC,,,,,,,,,,,SCHIST,WOOD,,,NO,NO,NO,YES,774335000,,COMMUNITY BIBLE,TABERNACLE INC,119,"5220  WYNNEFIELD AVENUE Philadelphia, PA",,,small_red
GREATER BIBLE WAY TEMPLE,COOPER MEMORIAL METHODIST EPISCOPAL CHURCH,6300 W. GIRARD AVENUE,19151,1902,CIRCA,,NO,NO,NO,NO,NO,NO,PHMC-PAB,,4,WEST,,METHODIST EPISCOPAL,APOSTOLIC,,,,,,,,,,,,,,,NO,NO,NO,YES,774162000,438 N. 63RD STREET,GREATER BIBLE WAY TEMPLE,,101,"6300 W. GIRARD AVENUE Philadelphia, PA",,,small_red
BYBERRY ROAD BAPTIST CHURCH,BYBERRY BAPTIST CHURCH,3330 BYBERRY ROAD,19154,1895,PRE,,NO,NO,NO,NO,NO,NO,PHILAGEOHISTORY,,10,LOWER FAR NORTHEAST,,BAPTIST,BAPTIST,,,,,,,,,,,STUCCO,,,,NO,NO,NO,NO,778100000,,BYBERRY BAPTIST CHURCH,,363,"3330  BYBERRY ROAD Philadelphia, PA",,,small_red
SAINT JOHN�S LUTHERAN CHURCH,SAINT JOHN EVANGELICAL LUTHERAN CHURCH,3101 TYSON AVENUE,19149,1946,,THOMAS N. MANSELL,NO,NO,NO,NO,NO,YES,PAB,,6,NORTH DELAWARE,,LUTHERAN,LUTHERAN,,,,,,,,,,,BRICK,SANDSTONE,,,NO,NO,NO,NO,778307000,,ST JOHN EVANGELICAL,,315,"3101  TYSON AVENUE Philadelphia, PA",,,small_red
UNITED HOUSE OF PRAYER FOR ALL PEOPLE,BETHEL BAPTIST CHURCH,4033-4039 HAVERFORD AVENUE,19104,1924,CIRCA,CLARENCE CASPERY,NO,NO,NO,NO,NO,NO,COOPERMAN,COOPERMAN,3,WEST,,BAPTIST,APOSTOLIC,,,,,,,,,,,STONE,,,,NO,NO,YES,YES,774177001,,MADISON S C TR,UNITED HOUSE OF PRAYER FO,106,"4033  HAVERFORD AVENUE Philadelphia, PA",,,small_red
"IGLESIA APOSTOLICA LUZ Y VERDAD, INC.",OUR SAVIOUR LUTHERAN CHURCH,3156-3164 D STREET,19134,1924,,ROWLAND W. BOYLE; PAUL J.HENON JR,NO,NO,NO,NO,NO,NO,PHPC,PHPC,7,NORTH,,LUTHERAN,APOSTOLIC,,,,,,,,,,,SCHIST,,,,NO,NO,NO,YES,777108000,450 E. ALLEGHENY AVENUE,IGLESIA APOSTOLICA LUZ Y,,177,"3156  D STREET Philadelphia, PA",,,small_red
UNITED CHURCH OF JESUS CHRIST,WOODLAND AVENUE UNITED PRESBYTERIAN CHURCH,6601 WOODLAND AVENUE,19142,1909,,,NO,NO,NO,NO,NO,NO,,,2,WEST,,PRESBYTERIAN,APOSTOLIC,,,,,,,,,,,,,,,NO,NO,NO,YES,773189000,,UNITED CHURCH OF JESUS CH,,63,"6601  WOODLAND AVENUE Philadelphia, PA",,,small_red
KEEP THE FAITH MINISTRY,SALEM EVANGELICAL LUTHERAN CHURCH,1923 HARRISON STREET,19124,1895,PRE,,NO,NO,NO,NO,NO,NO,PHILAGEOHISTORY,,7,LOWER NORTHEAST,,LUTHERAN,APOSTOLIC,,,,,,,,,,,,,,,NO,NO,NO,YES,882930080,,KEEP THE FAITH MINISTRIES,,299,"1923  HARRISON STREET Philadelphia, PA",,,small_red
TRUE UNITED CHURCH,HOLY ROSARY ITALIAN CATHOLIC CHURCH; JANES METHODIST CHURCH (ORIGINAL),528 E. HAINES STREET,19144,1898,CIRCA,RANKIN & KELLOGG,NO,NO,NO,NO,NO,NO,COOPERMAN; PAB,COOPERMAN,8,UPPER NORTHWEST,,METHODIST,APOSTOLIC,,,,,,,,,,,,,,,NO,NO,YES,YES,775192000,,PRAISE POWER & DELIVERANC,,248,"528 E. HAINES STREET Philadelphia, PA",,,small_red
LAWNDALE PRESBYTERIAN CHURCH,LAWNDALE PRESBYTERIAN CHURCH,346 LEVICK STREET,19111,1927,,JOHN L. HEACOCK,NO,NO,NO,NO,NO,NO,,,9,LOWER NORTHEAST,,PRESBYTERIAN,PRESBYTERIAN - PCA,,,,,,,,,,,SCHIST,LIMESTONE,,,NO,NO,NO,NO,778216000,6336 OAKLEY STREET,LAWNDALE PRESBYTERIAN,CHURCH,306,"346  LEVICK STREET Philadelphia, PA",,,small_red
ZION ASSEMBLY OF GOD CHURCH,GLORIA DEI EVANGELICAL LUTHERAN CHURCH,635 W. ROOSEVELT BOULEVARD,19140,1942,PRE,,NO,NO,NO,NO,NO,NO,PHILAGEOHISTORY,,9,UPPER NORTH,,LUTHERAN,ASSEMBLY OF GOD,,,,,,,,,,,,,,,NO,NO,NO,YES,776258000,,ZION ASSEMBLY OF GOD INC,,284,"635 W. ROOSEVELT BOULEVARD Philadelphia, PA",,,small_red
REFUGE CHURCH OF CHRIST,GREATER REFUGE CHURCH,1730-1740 N. 32ND STREET,19121,1901,,DAVIS E. SUPLEE,NO,NO,INELIGIBLE,NO,NO,NO,PHMC,,5,LOWER NORTH,,,APOSTOLIC,,,,,,,,,,,SCHIST,,,,NO,NO,NO,,772351000,,THE CHURCH OF OUR LORD,JESUS CHRIST OF THE,149,"1730 N. 32ND STREET Philadelphia, PA",,,small_red
NEW WAY MISSIONARY BAPTIST CHURCH,HARRY HOSIER MEMORIAL UNITED METHODIST CHURCH,4845-4855 N. 13TH STREET,19141,1916,,CONRAD NEFF,NO,NO,NO,NO,NO,NO,,,8,UPPER NORTH,,METHODIST,BAPTIST,,,,,,,,,,,SCHIST,,,,NO,NO,NO,YES,776338000,,BISHOP FOSS M E CHURCH,OF LOGAN,283,"4845 N. 13TH STREET Philadelphia, PA",,,small_red
BUSTLETON UNITED METHODIST CHURCH,BUSTLETON UNITED METHODIST CHURCH,9707 BUSTLETON AVENUE,19115,1947,,,NO,NO,NO,NO,NO,NO,MAPS CONFIRM CHURCH ON SITE BETWEEN 1942 AND 1962,,10,UPPER FAR NORTHEAST,,METHODIST,METHODIST,,,,,,,,,,,SCHIST,WOOD,,,NO,NO,NO,NO,778091000,,BUSTLETON ME CHURCH,,355,"9707  BUSTLETON AVENUE Philadelphia, PA",,,small_red
REFORMATION LUTHERAN CHURCH,REFORMATION LUTHERAN CHURCH,1201-1217 VERNON ROAD,19150,1947,,,NO,NO,NO,NO,NO,NO,MAPS CONFIRM CHURCH ON SITE BETWEEN 1942 AND 1962,,9,UPPER NORTH,,LUTHERAN,LUTHERAN,,,,,,,,,,,,,,,NO,NO,NO,NO,775328000,,EVANG LUTH CHURCH OF,THE REFORMATION,261,"1201  VERNON ROAD Philadelphia, PA",,,small_red
BETHEL PRESBYTERIAN CHURCH,BETHEL PRESBYTERIAN CHURCH,1900-1914 W. YORK STREET,19132,1904,,CHARLES W. BOLTON; CAMPBELL,NO,NO,NO,NO,NO,NO,PAB,,5,LOWER NORTH,,PRESBYTERIAN,PRESBYTERIAN - PC(USA),,,,,,,,,,,GRANITE,TERRA COTTA,,,NO,NO,NO,NO,776308600,,TRUSTEES OF THE,,168,"1900 W. YORK STREET Philadelphia, PA",,,small_red
REDEMPTION LUTHERAN CHURCH,REDEMPTION LUTHERAN CHURCH,8001 BUSTLETON AVENUE,19152,1935,CIRCA,HEACOCK & HOKANSON,NO,NO,NO,NO,NO,NO,PAB REF,,10,CENTRAL NORTHEAST,,LUTHERAN,LUTHERAN,,,,,,,,,,,,,,,NO,NO,NO,NO,778088000,RHAWN STREET,EVANGELICAL LUTHERAN,CHURCH OF REDEMPTION,334,"8001  BUSTLETON AVENUE Philadelphia, PA",,,small_red
HOLY CROSS CATHOLIC CHURCH,HOLY CROSS CATHOLIC CHURCH,148-154 E. MOUNT AIRY AVENUE,19119,1929,,HENRY D. DAGIT & SONS,NO,NO,NO,NO,NO,NO,"OUR FAITH-FILLED HERITAGE, P. 135",PAB,8,UPPER NORTHWEST,,ROMAN CATHOLIC,ROMAN CATHOLIC,,,,,,,,,,,,,,,YES,NO,NO,NO,775244000,,DENNIS J DOUGHERTY JR TR,,255,"148 E. MOUNT AIRY AVENUE Philadelphia, PA",,,small_red
"GRACE CHURCH AND THE INCARNATION, EPISCOPAL",SAINT GEORGE�S CHAPEL,2645 E. VENANGO STREET,19134,1888,,,NO,NO,NO,NO,NO,NO,PCHP,,6,RIVER WARDS,,,EPISCOPAL,,,,,,,,,,,WOOD,,,,NO,NO,NO,,777336000,,GRACE CHURCH OF THE,INCARNATION,186,"2645 E. VENANGO STREET Philadelphia, PA",,,small_red
HOLY FLOCK OF CHRIST CHURCH,,1329 COTTMAN AVENUE,19111,1962,PRE,,NO,NO,NO,NO,NO,NO,PHILAGEOHISTORY,,10,CENTRAL NORTHEAST,,,NON-DENOMINATIONAL,,,,,,,,,,,,,,,NO,NO,NO,,778128000,,CHURCH OF GESU,,338,"1329  COTTMAN AVENUE Philadelphia, PA",,US,small_red
MOTHER OF DIVINE GRACE CATHOLIC CHURCH,MOTHER OF DIVINE GRACE CATHOLIC CHURCH,2904-2908 E. THOMPSON STREET,19134,1950,,,NO,NO,NO,NO,NO,NO,PAB,,1,RIVER WARDS,,ROMAN CATHOLIC,ROMAN CATHOLIC,,,,,,,,,,,SCHIST,,,,YES,NO,NO,NO,777313000,2918 E. THOMPSON STREET,REV JOHN COLANTONI,,180,"2904 E. THOMPSON STREET Philadelphia, PA",,,small_red
NAZARENE BAPTIST CHURCH,NAZARENE BAPTIST CHURCH,1464 W. LYCOMING STREET,19140,1917,,HENRY DEHOFF,NO,NO,NO,SOUTHWARK,NO,NO,COOPERMAN,COOPERMAN,8,NORTH,,BAPTIST,BAPTIST,,,,,,,,,,,GRANITE,SCHIST,,,NO,NO,YES,NO,776199000,,NAZARINE BAPT CHURCH,,203,"1464 W. LYCOMING STREET Philadelphia, PA",,,small_red
FIRST GRACE BRETHREN CHURCH,FIRST BRETHREN CHURCH,638 KNORR STREET,19111,1942,,,NO,NO,NO,NO,NO,NO,,,10,CENTRAL NORTHEAST,,AMERICAN BRETHREN,AMERICAN BRETHREN,,,,,,,,,,,BRICK,WOOD,,,NO,NO,NO,NO,778204000,822 KNORR STREET (RECTORY),THE BRETHREN CHURCH,OF PHILA,307,"638  KNORR STREET Philadelphia, PA",,,small_red
SAINT PAUL'S BAPTIST CHURCH,FIRST REFORMED CHURCH,628-634 N. 10TH STREET,19123,1888,,GEORGE HEWITT,NO,NO,NO,NO,NO,NO,COOPERMAN,COOPERMAN,5,CENTRAL,,REFORMED,BAPTIST,ALTERATIONS (COOPERMAN),1916,STUCKERT & CO.,ALTERATIONS (COOPERMAN),1920,STUCKERT & CO.,ALTERATIONS (COOPERMAN),1929,STUCKERT & CO.,,GRANITE,,,,NO,NO,YES,YES,771245000,1000 WALLACE STREET,ST PAULS BAPT.CHURCH,,132,"628 N. 10TH STREET Philadelphia, PA",,,small_red
JOHNSON MEMORIAL UNITED METHODIST CHURCH,JOHNSON MEMORIAL METHODIST EPISCOPAL CHURCH,6901 HAWTHORNE STREET,19149,1942,PRE,,NO,NO,NO,NO,NO,NO,PHILAGEOHISTORY,,6,NORTH DELAWARE,,METHODIST,METHODIST,,,,,,,,,,,,,,,NO,NO,NO,NO,778185000,3117 LONGSHORE AVENUE,JOHNSON MEM CHURCH,,315,"6901  HAWTHORNE STREET Philadelphia, PA",,,small_red
NATIONAL TEMPLE BAPTIST CHURCH,UNIVERSALIST CHURCH OF THE RESTORATION,1618 W. MASTER STREET,19121,1860,,HAZLEHURST & HUCKEL,NO,NO,NO,NO,NO,NO,PHMC,,5,LOWER NORTH,,UNITARIAN UNIVERSALIST (UUA),BAPTIST,,,,,,,,,,,BROWNSTONE,,,,NO,NO,NO,YES,772167000,,NATIONAL TEMPLE,BAPTIST CHURCH,140,"1618 W. MASTER STREET Philadelphia, PA",,,small_red
BETHESDA PRESBYTERIAN CHURCH,,808 RED LION ROAD,19115,1962,POST,,NO,NO,NO,NO,NO,NO,PHILAGEOHISTORY,,10,UPPER FAR NORTHEAST,,,PRESBYTERIAN - PC(USA),,,,,,,,,,,,,,,NO,NO,NO,,778261000,,TRUSTEES OF PRESBYTERY,OF PHILA,356,"808  RED LION ROAD Philadelphia, PA",,,small_red
MOUNT ZION BAPTIST CHURCH OF PHILADELPHIA,WOODLAND AVENUE METHODIST EPISCOPAL CHURCH,1411 S. 50TH STREET,19143,1895,PRE,,NO,NO,NO,NO,NO,NO,PHILAGEOHISTORY,,3,UNIVERSITY/SOUTHWEST,,METHODIST EPISCOPAL,BAPTIST,,,,,,,,,,,,,,,NO,NO,NO,YES,773272000,5015 WOODLAND AVENUE,MT ZION BAPTIST CHURCH,CHURCH OF PHILA,74,"1411 S. 50TH STREET Philadelphia, PA",,,small_red
OVERBROOK ASSEMBLY OF GOD CHURCH,,6629-6637 W. GIRARD AVENUE,19151,1945,POST,,NO,NO,NO,NO,NO,NO,MAPS CONFIRM CHURCH ON SITE BETWEEN 1942 AND 1962,,4,WEST,,,PENTECOSTAL,,,,,,,,,,,GRANITE,STUCCO,,,NO,NO,NO,,774163000,,CHRISTIAN PENTECOSTAL,CHURCH,100,"6629 W. GIRARD AVENUE Philadelphia, PA",,,small_red
SECOND BAPTIST CHURCH OF NICETOWN,MOUNT CARMEL METHODIST EPISCOPAL CHURCH,3837-3843 GERMANTOWN AVENUE,19140,1895,POST,,NO,NO,NO,COLONIAL GERMANTOWN,NO,NO,COOPERMAN,,8,NORTH,,METHODIST EPISCOPAL,BAPTIST,,,,,,,,,,,,,,,NO,NO,YES,YES,776146000,,SECOND BAPTIST CHURCH,OF NICETOWN,203,"3837  GERMANTOWN AVENUE Philadelphia, PA",,,small_red
WOODCREST UNITED CHURCH OF CHRIST,WOODCREST UNITED CHURCH OF CHRIST,8113 THOURON AVENUE,19150,1962,PRE,,NO,NO,NO,NO,NO,NO,PHILAGEOHISTORY,,9,UPPER NORTH,,UNITED CHURCH OF CHRIST (UCC),UNITED CHURCH OF CHRIST (UCC),,,,,,,,,,,,,,,NO,NO,NO,NO,775321000,,WOODCREST CHURCH,,260,"8113  THOURON AVENUE Philadelphia, PA",,,small_red
GREATER MOUNT OLIVE AFRICAN METHODIST EPISCOPAL CHURCH,FITZWATER STREET METHODIST CHURCH?,727 S. 19TH STREET,19146,1855,,,NO,NO,NO,NO,NO,NO,,,2,CENTRAL,,METHODIST,AFRICAN METHODIST EPISCOPAL,,,,,,,,,,,BROWNSTONE,,,,NO,NO,NO,NO,772291000,,MT OLIVE AME CHURCH,,14,"727 S. 19TH STREET Philadelphia, PA",,,small_red
"ALL SAINTS� EPISCOPAL CHURCH, RHAWNHURST","ALL SAINTS� EPISCOPAL CHURCH, RHAWNHURST",7935-7947 FRONTENAC STREET,19111,1950,,FRANK R. WATSON; WILLIAM H. THOMPSON,NO,NO,NO,NO,NO,NO,CENSUS OF STAINED GLASS-PAB,PAB,7,CENTRAL NORTHEAST,,EPISCOPAL,EPISCOPAL,,,,,,,,,,,,,,,YES,NO,NO,NO,778167000,LONEY STREET,THE CHURCH FOUNDATION,ALL SAINTS PARISH,336,"7935  FRONTENAC STREET Philadelphia, PA",,,small_red
SAINTS UNITED LUTHERAN CHURCH,EVANGELICAL LUTHERAN CHURCH OF THE REDEEMER,3210 RYAN AVENUE,19136,1928,CIRCA,ROLAND T. ADDIS,NO,NO,NO,NO,NO,NO,ALL SAINTS CONGREGATION WEBSITE,,4,NORTH DELAWARE,,LUTHERAN,LUTHERAN,,,,,,,,,,,GRANITE,,FORMED OUT OF MERGER OF TRINITY (NORWEGIAN) EVANGELICAL LUTHERAN CHURCH AND LUTHERAN CHURCH OF THE REDEEMER (AS WEBSITE),DEM-REMOVE A / INSERT A TANK,NO,NO,NO,NO,778276950,,EVANGELICAL LUTHERN,CHURCH OF REDEEMER,332,"3210  RYAN AVENUE Philadelphia, PA",,,small_red
SAINT BARNABAS BETHSAIDA UNITED METHODIST CHURCH,MACEDONIA METHODIST CHURCH; JOHN SIMMONS MEMORIAL CHURCH,1812-1814 WHARTON STREET,19146,1890,,J. FRANKLIN STUCKERT,NO,NO,NO,NO,NO,NO,UNCONFIRMED,UNCONFIRMED,2,SOUTH,,,METHODIST,,,,,,,,,,,MARBLE,,,,NO,NO,NO,,773170000,,EDWARD BAKER CHARLES,SELLMON EMMA GIBBSON,31,"1812  WHARTON STREET Philadelphia, PA",,,small_red
WOMEN'S EMPOWERMENT CENTER/INITIATIVE,J.B. REEVE MEMORIAL PRESBYTERIAN CHURCH,439 N. 50TH STREET,19139,1924,,GEORGE E. SAVAGE,NO,NO,NO,NO,NO,NO,,,3,WEST,,PRESBYTERIAN,PRESBYTERIAN - PC(USA),,,,,,,,,,,,,,,NO,NO,NO,NO,774389000,4929 ASPEN STREET,TR PRESBYTERY OF PHILA,,104,"439 N. 50TH STREET Philadelphia, PA",,,small_red
TRIUMPH BAPTIST CHURCH,SAINT LADISLAUS CATHOLIC CHURCH,3984 NICE STREET,19140,1914,,,NO,NO,NO,NO,NO,NO,,,8,NORTH,,ROMAN CATHOLIC,BAPTIST,,,,,,,,,,,GRANITE,LIMESTONE,,,NO,NO,NO,YES,776212000,1648 W. HUNTING PARK AVENUE,NAZARINE BAPTIST,CHURCH,203,"3984  NICE STREET Philadelphia, PA",,,small_red
EMMANUEL INSTITUTIONAL BAPTIST CHURCH,SAINT PAUL'S LUTHERAN CHURCH,1732 N. 22ND STREET,19121,1892,,HAZLEHURST & HUCKEL,NO,NO,NO,NO,NO,NO,MAPS CONFIRM BUILDING BETWEEN 1875 AND 1895,,5,LOWER NORTH,,LUTHERAN,BAPTIST,,,,,,,,,,,MARBLE,,,,NO,NO,NO,YES,772318000,,EMANUEL INSTITUTIONAL,BAPTIST CHURCH,148,"1732 N. 22ND STREET Philadelphia, PA",,,small_red
MOUNT ENON BAPTIST CHURCH,TASKER METHODIST EPISCOPAL CHURCH,500 SNYDER AVENUE,19148,1874,CIRCA,LEWIS H. ESLER,NO,NO,NO,NO,NO,NO,PHMC-PAB,PHMC-PHC,1,SOUTH,,METHODIST EPISCOPAL,BAPTIST,,,,,,,,,,,LIMESTONE,,,,NO,NO,NO,YES,771163000,,GARDENHIRE FRANK AND,DORSEY THOMAS E,41,"500  SNYDER AVENUE Philadelphia, PA",,,small_red
RUFFIN NICHOLS MEMORIAL AFRICAN METHODIST EPISCOPAL CHURCH - FOR SALE (BY ?) LOOPNET.COM/LISTING/17065034/618-N-11TH-STREET-PHILADELPHIA-PA/,CHURCH OF THE NATIVITY,618 N. 11TH STREET,19123,1909,,,NO,NO,NO,NO,NO,NO,,,5,CENTRAL,COMPLEX,,N/A,,,,,,,,,,,GNEISS,LIMESTONE,,,NO,NO,NO,,771252000,,RUFFIN NICHOLAS,MEMORIAL AFRICAN,132,"618 N. 11TH STREET Philadelphia, PA",FOR SALE,,small_red
FOSTER MEMORIAL BAPTIST CHURCH,BETHLEHEM BAPTIST CHURCH,2401-2413 N. 18TH STREET,19132,1895,CIRCA,THOMAS P. LONSDALE; CLARENCE DEARMOND,NO,NO,NO,NO,NO,NO,PHMC-PAB,PAB,5,LOWER NORTH,,BAPTIST,BAPTIST,,,,,,,,,,,GRANITE,LIMESTONE,,,NO,NO,NO,NO,776349400,,BANK JOHN J CUNNINGHAM,LILLIAN D ROBERT,167,"2401 N. 18TH STREET Philadelphia, PA",,,small_red
TAYLOR MEMORIAL BAPTIST CHURCH,SAINT PAUL'S EVANGELICAL CHURCH,3813-3821 GERMANTOWN AVENUE,19140,1885,,,NO,NO,NO,NO,NO,NO,MAPS CONFIRM CHURCH ON SITE BETWEEN 1862 AND 1895,,8,NORTH,,,BAPTIST,,,,,,,,,,,,,,,NO,NO,NO,,776145001,,TAYLOR MEMORIAL BAPTIST,CHURCH,203,"3813  GERMANTOWN AVENUE Philadelphia, PA",,,small_red
VINE MEMORIAL BAPTIST CHURCH,PALATINATE REFORMED CHURCH,5600 W. GIRARD AVENUE,19131,1916,,,NO,NO,NO,NO,NO,NO,,,4,WEST,,REFORMED,BAPTIST,,,,,,,,,,,MARBLE,,,,NO,NO,NO,YES,774161000,,VINE ST BAPTIST CHURCH,,102,"5600 W. GIRARD AVENUE Philadelphia, PA",,,small_red
